country,mean_mae,std_mae,best_params
Afghanistan,2.66602812203726,1.8418531789593966,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Albania,4.73938836710154,3.7929046013321077,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Algeria,1.7866293842344692,0.48653505828719545,"{'initialization_method': 'heuristic', 'smoothing_level': 1.0}"
Andorra,3.854930733863219,0.8890686512797549,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Angola,4.9191499718129,1.9874645632428063,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Antigua and Barbuda,4.087367358993777,1.2237047375475898,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Argentina,5.311019995119696,1.0121607891825897,"{'initialization_method': 'estimated', 'smoothing_level': 0.7000000000000001}"
Armenia,5.958374764726525,3.9409571255494678,"{'initialization_method': 'estimated', 'smoothing_level': 0.30000000000000004}"
Aruba,3.9697908102671438,1.5251537608798946,"{'initialization_method': 'estimated', 'smoothing_level': 0.7000000000000001}"
Australia,1.0735230451839421,0.46668638614129926,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Austria,1.5117190486519378,0.5688890840198667,"{'initialization_method': 'estimated', 'smoothing_level': 0.6}"
Azerbaijan,9.185127046746144,7.71659274000205,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
The Bahamas,3.2876986113431075,2.0062513907170105,"{'initialization_method': 'estimated', 'smoothing_level': 0.2}"
Bahrain,1.8826427650381838,0.745747055559069,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Bangladesh,1.0925029899394156,0.4229543902577376,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Barbados,2.8316214617400584,0.9013194848022041,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Belarus,4.757602944981242,2.2859188617342845,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Belgium,1.3190443113373576,0.5083474068741332,"{'initialization_method': 'estimated', 'smoothing_level': 0.5}"
Belize,4.019572861249608,2.044633258954919,"{'initialization_method': 'estimated', 'smoothing_level': 0.2}"
Benin,1.6628709116457927,0.7043744461098365,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Bhutan,2.634549317468589,0.6467879668873866,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Bolivia,1.8685270636920486,0.5222190329653086,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Bosnia and Herzegovina,6.183717703186579,5.058542541034781,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Botswana,3.598478993716969,0.692702705445622,"{'initialization_method': 'estimated', 'smoothing_level': 0.8}"
Brazil,2.2727866651463486,0.6776346328935744,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Brunei Darussalam,1.9972489344670121,0.23511942784880194,"{'initialization_method': 'estimated', 'smoothing_level': 0.5}"
Bulgaria,4.655042158945891,2.7626899672287633,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Burkina Faso,2.0878192985401354,0.7234164295203627,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Burundi,2.5319895965812385,1.1728033112926486,"{'initialization_method': 'estimated', 'smoothing_level': 0.4}"
Cabo Verde,3.353718652284566,1.2145203075639928,"{'initialization_method': 'estimated', 'smoothing_level': 0.9}"
Cambodia,2.4873373966252466,1.0487024158548726,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Cameroon,2.0283297948988226,2.038775700456474,"{'initialization_method': 'estimated', 'smoothing_level': 0.4}"
Canada,1.5043065880655608,0.3972886514757025,"{'initialization_method': 'estimated', 'smoothing_level': 0.7000000000000001}"
Central African Republic,3.5344651718274336,2.2355700170843744,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Chad,4.4072212552238375,1.8061474004014137,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Chile,3.069169166743457,1.1376203189320364,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
China,2.6267398100166752,1.3554008900363221,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Colombia,2.096467816249988,0.9778831816200839,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Comoros,2.1367209639380564,1.2803399278650824,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Dem. Rep. of the Congo,5.365987919955094,3.587270381263042,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Republic of Congo,4.938128676572434,0.960268499021104,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Costa Rica,1.8188783878618584,0.5867572865079452,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Croatia,3.5475194438214857,1.2121812408573829,"{'initialization_method': 'estimated', 'smoothing_level': 0.2}"
Cyprus,2.9369970338516285,1.1261368095284399,"{'initialization_method': 'estimated', 'smoothing_level': 0.6}"
Czech Republic,2.2791717763929817,0.7671733527876058,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Côte d'Ivoire,3.610523633637289,0.9183762164882496,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Denmark,1.3999691130296992,0.4718245567007006,"{'initialization_method': 'estimated', 'smoothing_level': 0.30000000000000004}"
Djibouti,2.87949898228294,1.8258319250631092,"{'initialization_method': 'estimated', 'smoothing_level': 0.8}"
Dominica,3.008343709387817,1.6246307174689296,"{'initialization_method': 'estimated', 'smoothing_level': 0.4}"
Dominican Republic,2.825820635087738,0.9142374916904311,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Ecuador,2.267412448168397,0.5209320449495897,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Egypt,1.373016072308542,0.17820631434313042,"{'initialization_method': 'estimated', 'smoothing_level': 0.2}"
El Salvador,1.608324562443928,0.9271685409226733,"{'initialization_method': 'estimated', 'smoothing_level': 0.2}"
Equatorial Guinea,19.461103887247873,20.388975973597873,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Eritrea,8.160639141671204,3.9589899787357075,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Estonia,3.913702562192539,2.169172967839996,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Eswatini,1.70897696335691,0.5766820302865376,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Ethiopia,4.178144737580338,2.3460476752284265,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Fiji,3.5850507151471667,2.028649583837459,"{'initialization_method': 'estimated', 'smoothing_level': 0.2}"
Finland,2.538014184471746,0.8329184649371532,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
France,1.4287671494673113,0.6846809948561864,"{'initialization_method': 'estimated', 'smoothing_level': 0.6}"
Gabon,2.9153875855029754,0.8855522768704772,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
The Gambia,2.6420132827628544,0.6893212362908113,"{'initialization_method': 'estimated', 'smoothing_level': 0.30000000000000004}"
Georgia,7.45401273608636,8.328656330069627,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Germany,1.6052244223119654,0.4753513159051061,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Ghana,1.6340345634206201,1.1278251165609758,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Greece,3.125675744769001,1.352598016848455,"{'initialization_method': 'estimated', 'smoothing_level': 0.30000000000000004}"
Grenada,3.6195956505998144,1.3689849452368739,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Guatemala,0.9728609536836569,0.43691015955312157,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Guinea,1.6089750089952113,0.6739551593972843,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Guinea-Bissau,2.6825302194823974,1.9785245119241175,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Guyana,14.347885196168193,2.427227983312862,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Haiti,2.800055761111309,1.0696830339792627,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Honduras,2.1891209296811422,1.0564859957398887,"{'initialization_method': 'heuristic', 'smoothing_level': 1.0}"
Hong Kong SAR,2.9231988070193973,0.8778241464907641,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Hungary,2.710820552893044,1.1835617821357378,"{'initialization_method': 'estimated', 'smoothing_level': 0.30000000000000004}"
Iceland,2.859843126390629,0.6974013527433269,"{'initialization_method': 'estimated', 'smoothing_level': 0.8}"
India,2.0221912322909796,0.5957380338332275,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Indonesia,2.1661544012482867,1.2711116004272538,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Iran,3.174401144697909,1.0923622993160502,"{'initialization_method': 'estimated', 'smoothing_level': 0.6}"
Iraq,8.148357127962303,5.972849434314152,"{'initialization_method': 'estimated', 'smoothing_level': 0.9}"
Ireland,3.8656720246606566,1.7145830445109518,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Israel,1.8659049185522683,0.5288537523548306,"{'initialization_method': 'estimated', 'smoothing_level': 0.6}"
Italy,1.6169133849396644,0.7365859188873096,"{'initialization_method': 'estimated', 'smoothing_level': 0.9}"
Jamaica,1.6529201909216198,0.7614725546320185,"{'initialization_method': 'estimated', 'smoothing_level': 0.2}"
Japan,1.4921801993605837,0.3544901743621713,"{'initialization_method': 'estimated', 'smoothing_level': 1.0}"
Jordan,2.809547460458141,2.351444351394901,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Kazakhstan,5.034696628549332,3.6294102532471886,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Kenya,1.8042825689007942,0.5210551447201913,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
Kiribati,2.553668722252241,0.4640638592540664,"{'initialization_method': 'estimated', 'smoothing_level': 0.1}"
